domain,origin,discovery_methods,verdict,framework,platform_name,verified_site_name,api_status_hit,html_framework_hit,content_hits,signal_tier,v1models_hit,last_round
0api.qzz.io,round5,codesearch,confirmed,new-api/one-api系,Zero API,Zero API,True,True,4,A_api_status,False,17
147ai.com,round1,codesearch,confirmed,new-api/one-api系,147 AI,147 AI,True,True,4,A_api_status,False,17
180txt.cn,round6,codesearch,confirmed,new-api/one-api系,180txt,180txt,True,True,4,A_api_status,False,17
1xm.ai,round16,codesearch,confirmed,new-api/one-api系,OneXModel,OneXModel,True,False,4,A_api_status,False,17
35.aigcbest.top,round1,codesearch,confirmed,new-api/one-api系,钱多多 API Beta,钱多多 API Beta,True,True,0,A_api_status,False,17
4router.net,round4,codesearch,confirmed,new-api/one-api系,4Router,4Router,True,False,2,A_api_status,False,17
4sapi.com,round1,codesearch,confirmed,new-api/one-api系,4SAPI,4SAPI,True,True,7,A_api_status,False,17
4sapi.net,round9,codesearch,confirmed,new-api/one-api系,4SAPI,4SAPI,True,True,7,A_api_status,False,17
4zapi.com,round4,codesearch,confirmed,new-api/one-api系,4Z API,4Z API,True,False,5,A_api_status,False,17
52mx.net,round5,codesearch,confirmed,new-api/one-api系,52模型|52mx.net,52模型|52mx.net,True,True,0,A_api_status,False,17
66ai.ai,round14,codesearch,confirmed,new-api/one-api系,66AI.AI,66AI.AI,True,False,1,A_api_status,False,17
78code.cc,round11,codesearch,confirmed,new-api/one-api系,78 code,78 code,True,True,4,A_api_status,False,17
7x.hk,round11,codesearch,confirmed,new-api/one-api系,七倍算力,七倍算力,True,True,0,A_api_status,False,17
8yes.cc,round4,codesearch,confirmed,new-api/one-api系,New API,New API,True,True,0,A_api_status,False,17
91router.ai,round14,codesearch,confirmed,new-api/one-api系,91ROUTER,91ROUTER,True,True,4,A_api_status,False,17
9527code.com,round16,codesearch,confirmed,new-api/one-api系,9527CODE,9527CODE,True,True,6,A_api_status,False,17
992236.xyz,round7,codesearch,confirmed,new-api/one-api系,Meow Brother API Distribution Platform (New ),Meow Brother API Distribution Platform (New ),True,True,4,A_api_status,False,17
a6api.com,round16,codesearch,confirmed,new-api/one-api系,A6api-Token聚合站,A6api-Token聚合站,True,True,2,A_api_status,False,17
