checked_at,domain,platform_name,final_url,error
2026-06-16T03:18:58Z,dataeyes.ai,DataEyes AI,https://www.dataeyes.ai/,"Page.screenshot: Timeout 30000ms exceeded.
Call log:
  - taking page screenshot
  - waiting for fonts to load...
  - fonts loaded
"
2026-06-16T03:18:58Z,timyai.com,Timy AI,https://timyai.com/,"Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://timyai.com/
Call log:
  - navigating to ""https://timyai.com/"", waiting until ""domcontentloaded""
"
2026-06-16T03:18:58Z,allinai7.cloud,Allin-AI,https://allinai7.cloud/,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://allinai7.cloud/
Call log:
  - navigating to ""https://allinai7.cloud/"", waiting until ""domcontentloaded""
"
2026-06-16T03:18:58Z,ai-szzx.online,数智AI,https://ai-szzx.online/,"Page.goto: net::ERR_CERT_DATE_INVALID at https://ai-szzx.online/
Call log:
  - navigating to ""https://ai-szzx.online/"", waiting until ""domcontentloaded""
"
2026-06-16T17:53:24Z,dataeyes.ai,DataEyes AI,https://www.dataeyes.ai/,"Page.screenshot: Timeout 30000ms exceeded.
Call log:
  - taking page screenshot
  - waiting for fonts to load...
  - fonts loaded
"
2026-06-16T17:53:24Z,allinai7.cloud,Allin-AI,https://allinai7.cloud/,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://allinai7.cloud/
Call log:
  - navigating to ""https://allinai7.cloud/"", waiting until ""domcontentloaded""
"
2026-06-16T17:53:24Z,ai-szzx.online,数智AI,https://ai-szzx.online/,"Page.goto: net::ERR_CERT_DATE_INVALID at https://ai-szzx.online/
Call log:
  - navigating to ""https://ai-szzx.online/"", waiting until ""domcontentloaded""
"
2026-06-17T04:34:31Z,dataeyes.ai,DataEyes AI,https://www.dataeyes.ai/,"Page.screenshot: Timeout 30000ms exceeded.
Call log:
  - taking page screenshot
  - waiting for fonts to load...
  - fonts loaded
"
2026-06-17T04:34:31Z,allinai7.cloud,Allin-AI,https://allinai7.cloud/,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://allinai7.cloud/
Call log:
  - navigating to ""https://allinai7.cloud/"", waiting until ""domcontentloaded""
"
2026-06-17T04:34:31Z,codexone.aieania.tech,CodexOne,https://codexone.aieania.tech/,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://codexone.aieania.tech/"", waiting until ""domcontentloaded""
"
2026-06-17T04:34:31Z,ai-szzx.online,数智AI,https://ai-szzx.online/,"Page.goto: net::ERR_CERT_DATE_INVALID at https://ai-szzx.online/
Call log:
  - navigating to ""https://ai-szzx.online/"", waiting until ""domcontentloaded""
"
